Date,A/C Type,Location,Fatalities,Registration,detail.url
"Feb 3, 2019",Cessna 414 Chancellor,"Yorba Linda, California",5,N414RS,http://www.baaa-acro.com/crash/crash-cessna-414a-chancellor-yorba-linda-5-killed
"Jan 30, 2019",Beechcraft 200 Super King Air,"Whatì, Northwest Territories",2,C-GTUC,http://www.baaa-acro.com/crash/crash-beechcraft-200-super-king-whati-2-killed
"Jan 29, 2019",Beechcraft 200 Super King Air,"Kake, Alaska",3,N13LY,http://www.baaa-acro.com/crash/crash-beechcraft-b200-super-king-air-kake-3-killed
"Jan 25, 2019",Cessna 207 Skywagon/Stationair,"Cayenne-Rochambeau-Félix Eboué, All French Guyana",0,F-OSIA,http://www.baaa-acro.com/crash/crash-cessna-207-stationair-7-cayenne
"Jan 21, 2019",Douglas DC-3,"Kidron-Stoltzfus, Ohio",2,N467KS,http://www.baaa-acro.com/crash/crash-ami-dc-3-65tp-kidron-2-killed
"Jan 21, 2019",Piper PA-46 Malibu Meridian (Malibu Mirage),"Alderney, Channel Islands",2,N264DB,http://www.baaa-acro.com/crash/crash-piper-pa-46-310p-malibu-alderney-2-killed
"Jan 14, 2019",Boeing 707,"Fath, Tehran City District",15,EP-CPP,http://www.baaa-acro.com/crash/crash-boeing-707-3j9c-fath-15-killed
"Jan 13, 2019",Canadair CL-601 Challenger,"Ox Ranch (Uvalde), Texas",0,N813WT,http://www.baaa-acro.com/crash/crash-canadair-cl-601-challenger-ox-ranch
"Jan 12, 2019",Partenavia P.68,"Strausberg, Brandenburg",2,D-GINA,http://www.baaa-acro.com/crash/crash-partenavia-p68b-victor-near-strausberg-2-killed
"Dec 24, 2018",Antonov AN-26,"Beni, Nord-Kivu",0,9T-TAB,http://www.baaa-acro.com/crash/crash-antonov-26b-beni
"Dec 20, 2018",Cessna 560 Citation V,"Atlanta-Fulton County-Brown Field, Georgia",4,N188CW,http://www.baaa-acro.com/crash/crash-cessna-560-citation-v-atlanta-4-killed
"Dec 20, 2018",Piper PA-46 Malibu Meridian (Malibu Mirage),"Ponte Vedra Beach, Florida",2,N307JM,http://www.baaa-acro.com/crash/crash-piper-pa-46-350p-malibu-ponte-vedra-beach-2-killed
"Dec 20, 2018",Antonov AN-26,"Kinshasa, Kinshasa City Province",7,9S-AGB,http://www.baaa-acro.com/crash/crash-antonov-26b-kinshasa-7-killed
"Dec 8, 2018",Britten-Norman Islander,"West Portal (Southwest National Park), Tasmania",1,VH-OBL,http://www.baaa-acro.com/crash/crash-britten-norman-bn-2a-20-islander-west-portal-1-killed
"Dec 6, 2018",Lockheed C-130 Hercules,"Pacific Ocean, All World",5,-,http://www.baaa-acro.com/crash/crash-lockheed-kc-130j-hercules-pacific-ocean-5-killed
"Nov 30, 2018",Cessna 525 CJ2,"Memphis, Indiana",3,N525EG,http://www.baaa-acro.com/crash/crash-cessna-525-citationjet-cj2-memphis-3-killed
"Nov 30, 2018",Cessna 550 Citation II,"Fargo-Hector, North Dakota",0,N941JM,http://www.baaa-acro.com/crash/crash-cessna-550-citation-ii-fargo
"Nov 26, 2018",Cessna 525 Citation M2,"Fazenda Fortaleza de Santa Terezinha (Várzea da Palma), Minas Gerais",4,PP-OEG,http://www.baaa-acro.com/crash/crash-cessna-525-citationjet-m2-fazenda-fortaleza-de-santa-terezinha-4-killed
"Nov 18, 2018",Cessna 441 Conquest,"Bismarck, North Dakota",3,N441CX,http://www.baaa-acro.com/crash/crash-cessna-441-conquest-ii-near-bismarck-3-killed
"Nov 13, 2018",Cessna 340,"Ponoka-Labrie Field, Alberta",0,C-GMLS,http://www.baaa-acro.com/crash/crash-cessna-340a-ponoka
"Nov 12, 2018",Rockwell Gulfstream 690C Jetprop 840,"Myrtle Beach, South Carolina",0,N840JC,http://www.baaa-acro.com/crash/crash-gulfstream-690c-jetprop-840-myrtle-beach
"Nov 9, 2018",Lockheed C-130 Hercules,"Chaklala-Nur Khan AFB (Islamabad), Islamabad Capital Territory (وفاقی دارالحکومت)",0,4180,http://www.baaa-acro.com/crash/crash-lockheed-c-130e-hercules-chaklala-nur-khan-afb
